IP地址,国家代码,地点,网络,邮政编码,大致坐标*,精度半径(km),互联网服务供应商,组织,领域,地铁代码
60.210.145.7,中国,"潍坊,",60.210.128.0/19,,"36.71?,",1000,中国联通,中国联通,,
,,"山东,",,,119.1038,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
36.43.103.54,中国,"咸阳,",36.43.96.0/19,,"34.334?,",500,中国电信,中国电信,,
,,"陕西,",,,108.7042,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
183.227.10.141,中国,"重庆,",183.227.8.0/21,,"29.5689?,",1000,中国移动,中国移动,,
,,"重庆,",,,106.5577,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
183.227.84.169,中国,"涪陵,",183.227.80.0/21,,"29.7092?,",1000,中国移动,中国移动,,
,,"重庆,",,,107.4018,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
27.47.0.62,中国,"广州,",27.47.0.0/22,,"23.1181?,",500,中国联通,中国联通广州,,
,,"广东省,",,,113.2539,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
36.43.99.104,中国,"咸阳,",36.43.96.0/19,,"34.334?,",500,中国电信,中国电信,,
,,"陕西,",,,108.7042,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
119.62.135.178,中国,"上海,",119.62.128.0/17,,"31.2222?,",1000,中国联通,中国联通,,
,,"上海,",,,121.4581,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
27.47.33.106,中国,"广州,",27.47.33.0/25,,"23.1181?,",100,中国联通,中国联通广州,,
,,"广东省,",,,113.2539,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
60.218.234.12,中国,"大庆,",60.218.128.0/17,,"46.5851?,",1000,中国联通,中国联通,,
,,"黑龙江,",,,125.0044,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
124.88.140.161,中国,"新疆维吾尔自治区,",124.88.128.0/17,,"43.8006?,",1000,中国联通,中国联通,,
,,"中国,",,,87.6012,,,,,
,,亚洲,,,,,,,,
183.253.161.68,中国,"南平,",183.253.161.0/24,,"26.6464?,",1000,中国移动,中国移动,,
,,"福建,",,,118.1796,,,,,
,,"中国,",,,,,,,,
,,亚洲,,,,,,,,
1.87.178.169,中国,"咸阳,",1.87.160.0/19,,"34.334?,",1000,中国电信,中国电信,,
,,"陕西,",,,108.7042,,,,,
,,"中国,",,,,,,,,
